author_id,territory_level,territory_name,text
C0001,neighborhood,Parque da Cidade,"Precisamos de segurança pública de verdade, não só operações que assustam mais do que protegem."
C0002,neighborhood,Parque da Cidade,A educação de base na comunidade é fraca. Muitas crianças ficam para trás por falta de apoio.
C0003,neighborhood,Gávea neighborhood,Os eventos culturais no Planetário e na PUC são ótimos. O neighborhood tem uma vida cultural rica.
C0004,neighborhood,Rocinha,A água chega com pressão baixíssima e às vezes vem barrenta. Precisamos de saneamento de verdade.
C0005,neighborhood,Gávea,"O turismo é um ponto forte da Gávea, mas precisa incluir as comunidades como protagonistas."
C0006,neighborhood,Gávea neighborhood,O neighborhood poderia aproveitar melhor sua vocação econômica para gerar mais empregos locais.
C0007,neighborhood,Rocinha,Já faz anos que pedimos melhorias e nada muda. Os políticos aparecem só em época de eleição.
C0008,neighborhood,Gávea neighborhood,"A UPA da região é sobrecarregada, mas no geral a saúde pública aqui é melhor que em outros neighborhoods."
C0009,neighborhood,Rocinha,As ruas aqui dentro estão cheias de buracos e ninguém conserta. A prefeitura não investe na neighborhood.
C0010,neighborhood,Gávea,"O nível de educação é alto no neighborhood em geral, mas existe uma desigualdade gritante no acesso."
C0011,neighborhood,Rocinha,As opções de cultura que existem no neighborhood não chegam até a comunidade. Sinto falta disso.
C0012,neighborhood,Parque da Cidade,Não temos coleta de lixo direito. O caminhão não sobe até aqui e o lixo acumula nas vielas.
C0013,neighborhood,Gávea neighborhood,"Os imóveis na Gávea têm boa qualidade, mas o custo de vida é alto para quem não tem renda elevada."
C0014,neighborhood,Rocinha,O ônibus para o metrô é lotado e demora muito. O ideal seria o metrô chegar até a Rua Marquês de São Vicente.
C0015,neighborhood,Gávea neighborhood,Moro num apartamento bem cuidado. Estou satisfeito com as condições de moradia no neighborhood.
C0016,neighborhood,Gávea,"Me identifico muito com a Gávea. É um neighborhood especial, mas precisa resolver suas desigualdades internas."
C0017,neighborhood,Rocinha,"As casas aqui são apertadas e úmidas, mas fazemos o melhor que podemos com o espaço que temos."
C0018,neighborhood,Gávea,O gap de tecnologia entre o neighborhood e as neighborhoods é enorme. Isso aprofunda as desigualdades.
C0019,neighborhood,Parque da Cidade,Cultura para nós é o que criamos dentro da comunidade. Precisamos de apoio para fazer isso crescer.
C0020,neighborhood,Rocinha,"Gosto que as pessoas venham conhecer a comunidade, mas quero que o dinheiro fique aqui dentro."
C0021,neighborhood,Gávea neighborhood,Os colégios particulares da Gávea são de excelente qualidade. Estou muito satisfeito com a educação dos meus filhos.
C0022,neighborhood,Parque da Cidade,O posto de saúde fecha cedo e não funciona fim de semana. Fica difícil para quem trabalha.
C0023,neighborhood,Rocinha,Tem muito lixo acumulado nos córregos porque a coleta não chega direito. Isso polui o ambiente da comunidade.
C0024,neighborhood,Gávea neighborhood,Estou satisfeito com a atividade turística do neighborhood. Gera movimento e valoriza a região.
C0025,neighborhood,Gávea neighborhood,Gávea é um neighborhood privilegiado. Temos responsabilidade de ajudar a reduzir as desigualdades locais.
C0026,neighborhood,Gávea neighborhood,Tenho plano de saúde e os hospitais da zona sul atendem bem. Estou satisfeito com o acesso à saúde.
C0027,neighborhood,Rocinha,"A Rocinha é minha casa e tenho orgulho de morar aqui, mas quero dignidade e serviços básicos de qualidade."
C0028,neighborhood,Rocinha,"Falta esgoto aqui em cima. Quando chove forte, tudo transborda e o cheiro é insuportável."
C0029,neighborhood,Parque da Cidade,Tecnologia e inovação são palavras que não chegam até aqui. Nenhum projeto de inclusão digital funciona de verdade.
C0030,neighborhood,Parque da Cidade,A mobilidade dentro da comunidade é péssima. Não tem como passar com carrinho de bebê ou cadeira de rodas.
C0031,neighborhood,Gávea,"Mobilidade é um problema sério para todo o neighborhood, mas afeta muito mais os moradores das neighborhoods."
