author_id,territory_level,territory_name,text
C0001,neighborhood,Gávea,"A Estrada da Gávea precisa urgente de manutenção, os buracos estão danificando os carros. Já abri reclamação na prefeitura três vezes e nada foi feito. É um descaso com quem mora aqui há anos."
C0002,neighborhood,Rocinha,"O acesso à UPA da Rocinha melhorou bastante depois da reforma. Consegui atendimento rápido quando minha filha teve febre alta. Fico grata por isso, mas ainda faltam médicos no período da noite."
C0003,neighborhood,Parque da Cidade,"O Parque da Cidade está abandonado, com mato alto e iluminação quebrada. À noite fica perigoso passar por ali. Seria ótimo se revitalizassem esse espaço para as famílias usarem."
C0004,neighborhood,São Conrado,"A praia de São Conrado anda com a água suja por causa do esgoto que desce do morro. Não dá mais para entrar no mar com as crianças. Precisamos de saneamento de verdade aqui."
C0005,neighborhood,Vidigal,"Subir o Vidigal a pé é cansativo e não tem transporte público decente. As vans lotam e os mototáxis são caros. Quem mora no alto sofre todo dia para descer e trabalhar."
C0006,neighborhood,Leblon,"O Leblon continua sendo um dos lugares mais agradáveis para caminhar à beira-mar. A ciclovia é bem cuidada e me sinto segura passeando de manhã. Só queria menos barulho de obras nos prédios."
C0007,neighborhood,Ipanema,"O Posto 9 vira um caos de lixo todo fim de semana. Os garis fazem o que podem, mas falta coleta reforçada nos dias de movimento. A praia merece mais respeito de todos nós."
C0008,neighborhood,Gávea,"O Planetário da Gávea é um tesouro cultural que pouca gente do próprio bairro frequenta. Deveriam fazer mais eventos gratuitos para atrair as escolas públicas. Cultura tem que ser para todos."
C0009,neighborhood,Rocinha,"Falta saneamento básico em muitos becos da Rocinha, o esgoto corre a céu aberto. Minha rua alaga toda vez que chove forte. As crianças adoecem por causa disso e ninguém resolve."
C0010,neighborhood,Ipanema,"Adoro morar em Ipanema, mas o aluguel está impagável. Famílias antigas estão sendo expulsas pela especulação imobiliária. Precisamos de políticas de habitação para quem é daqui."
C0011,neighborhood,Vidigal,"A vista do Vidigal para o mar é a mais bonita do Rio, isso atrai muito turista. Mas os moradores não veem o dinheiro do turismo. Queria que houvesse projetos de renda para a comunidade."
C0012,neighborhood,São Conrado,"O Metrô não chega em São Conrado e a Auto-Estrada Lagoa-Barra vive congestionada. Levo mais de uma hora para chegar ao centro. Transporte aqui é um problema sério e antigo."
C0013,neighborhood,Parque da Cidade,"Levei meus filhos ao Museu Histórico da Cidade no Parque da Cidade e foi uma experiência linda. Falta divulgação, muita gente nem sabe que existe. Investir nesse patrimônio valoriza nossa identidade."
C0014,neighborhood,Leblon,"A segurança no Leblon piorou, tem muitos furtos de celular na orla. Já vi turistas serem abordados em plena luz do dia. Precisamos de mais policiamento de proximidade, não só viatura passando."
C0015,neighborhood,Gávea,"A PUC-Rio movimenta muito o comércio da Gávea, mas o trânsito na entrada e saída de aula é terrível. Os ônibus param em fila dupla e fecham a via. Falta organização nesse fluxo."
C0016,neighborhood,Rocinha,"As escolas da Rocinha estão superlotadas e faltam vagas em creche. Tive que deixar meu trabalho porque não consegui onde deixar meu filho. Educação infantil precisa ser prioridade aqui."
C0017,neighborhood,Ipanema,"A feira hippie de Ipanema é parte da nossa cultura e atrai turistas do mundo todo. Mas os artesãos reclamam da falta de apoio da prefeitura. Valorizar esse espaço gera renda e identidade."
C0018,neighborhood,Vidigal,"A coleta de lixo no Vidigal não chega nas partes altas, o caminhão só passa embaixo. A gente tem que descer sacos de lixo na mão. Isso atrai ratos e baratas, é um problema de saúde."
C0019,neighborhood,São Conrado,"O Morro Dois Irmãos visto de São Conrado é deslumbrante e devia ser mais protegido. Tem gente construindo de forma irregular na encosta. Meio ambiente e segurança das encostas andam juntos."
C0020,neighborhood,Leblon,"Faltam médicos especialistas na rede pública perto do Leblon, sempre me mandam para longe. Quem não tem plano de saúde fica meses na fila. O acesso à saúde é muito desigual nesta cidade."
C0021,neighborhood,Parque da Cidade,"As trilhas do Parque da Cidade poderiam atrair muito ecoturismo se fossem sinalizadas. Levei amigos lá e nos perdemos por falta de placas. Tem potencial enorme desperdiçado por descuido."
C0022,neighborhood,Gávea,"O Horto e a Lagoa Rodrigo de Freitas perto da Gávea são lindos para correr. Mas a iluminação da pista some em vários trechos à noite. Quem treina cedo ou tarde fica inseguro."
C0023,neighborhood,Rocinha,"Trabalho como diarista e gasto duas horas só no transporte da Rocinha até a Zona Sul. As vans são caras e perigosas. Um transporte público digno mudaria a vida de muita gente daqui."
C0024,neighborhood,Ipanema,"O calçadão de Ipanema está com várias pedras portuguesas soltas, já vi idosos tropeçarem. A manutenção é precária para um cartão-postal tão importante. Pequenos reparos evitariam acidentes sérios."
C0025,neighborhood,Vidigal,"O Vidigal tem talentos incríveis na música e no teatro, mas falta espaço cultural fixo. Os jovens precisam de oportunidade para não se perder. Investir em cultura é investir em futuro."
C0026,neighborhood,São Conrado,"A favela do morro em São Conrado convive com a riqueza dos prédios de luxo lado a lado. Essa desigualdade é gritante e dolorosa. Queria ver políticas que reduzissem esse abismo social."
C0027,neighborhood,Leblon,"Sou aposentado e adoro a tranquilidade do Leblon, mas os bancos da praça foram retirados. Não tenho mais onde sentar para conversar com os amigos. Pequenas coisas fazem falta para os idosos."
